Symbol,MarketCap,MarketCapFormatted
UMBF,8281336832,$8.28B
MNDY,8279680000,$8.28B
TTAN,8268731392,$8.27B
NICE,8235108864,$8.24B
CFLT,8185848320,$8.19B
OPEN,8161324032,$8.16B
ONB,8124170752,$8.12B
CYTK,8123281920,$8.12B
FIVE,8109691904,$8.11B
VFS,8094713856,$8.09B
PCTY,8064792576,$8.06B
COLB,8055327744,$8.06B
AUR,8051143680,$8.05B
GSAT,8013650944,$8.01B
CORT,7968007680,$7.97B
QRVO,7964614656,$7.96B
SFM,7963846656,$7.96B
AMKR,7897830400,$7.90B
AAON,7769113088,$7.77B
OLLI,7744698368,$7.74B
CIGI,7744313856,$7.74B
BPOP,7715614720,$7.72B
STEP,7715085824,$7.72B
MTCH,7681723392,$7.68B
AEIS,7655540224,$7.66B
GRFS,7636520960,$7.64B
DBX,7610498560,$7.61B
NTSK,7599435776,$7.60B
ZION,7532645888,$7.53B
SITM,7524887040,$7.52B
FIGR,7402037760,$7.40B
MRUS,7282842112,$7.28B
SIRI,7269731840,$7.27B
SOLS,7258348032,$7.26B
SAIA,7246265856,$7.25B
MMYT,7239763456,$7.24B
DSGX,7238106112,$7.24B
CHYM,7188151296,$7.19B
FSV,7143240192,$7.14B
CBSH,7100075520,$7.10B
FCFS,7061905408,$7.06B
FROG,7049078784,$7.05B
AXSM,7042141696,$7.04B
TTMI,7025456128,$7.03B
WIX,6963428864,$6.96B
CHDN,6958220800,$6.96B
PNFP,6918179328,$6.92B
NUVL,6887440384,$6.89B
CAI,6856170496,$6.86B
CDTX,6844665856,$6.84B
WAY,6839567872,$6.84B
QMMM,6830437376,$6.83B
BOKF,6808608768,$6.81B
SRAD,6700345344,$6.70B
RYTM,6634231808,$6.63B
APLD,6614571008,$6.61B
WING,6529630208,$6.53B
MKTX,6503898624,$6.50B
RGC,6428356096,$6.43B
PCVX,6373826048,$6.37B
BRKR,6349620224,$6.35B
EXLS,6327404032,$6.33B
CGNX,6204445696,$6.20B
CRUS,6099657728,$6.10B
RRR,6065875968,$6.07B
GLBE,6049036800,$6.05B
PTCT,6045709312,$6.05B
VLY,6028040704,$6.03B
PONY,6017988608,$6.02B
MIDD,6016306176,$6.02B
ROAD,5952282112,$5.95B
CIFR,5900779008,$5.90B
SMTC,5864158208,$5.86B
RDNT,5797548032,$5.80B
BTSG,5771273728,$5.77B
SLM,5743963136,$5.74B
ARWR,5704506368,$5.70B
GDS,5680249856,$5.68B
URBN,5666142208,$5.67B
CVLT,5616739328,$5.62B
CWST,5610269184,$5.61B
ATAT,5574536192,$5.57B
NXST,5567879168,$5.57B
OLED,5564819968,$5.56B
ACT,5443720192,$5.44B
CHRD,5294728192,$5.29B
PTGX,5289450496,$5.29B
OS,5276078080,$5.28B
UFPI,5271695872,$5.27B
ACLX,5202902016,$5.20B
REYN,5201451520,$5.20B
COGT,5193093120,$5.19B
RIOT,5186710528,$5.19B
MMSI,5181967360,$5.18B
WFRD,5181777408,$5.18B
QLYS,5148177408,$5.15B
SOUN,5133571584,$5.13B
ALKS,5120293888,$5.12B
UBSI,5116780032,$5.12B
ENLT,5097347584,$5.10B
GNTX,5096990720,$5.10B
BCPC,5082373632,$5.08B
OMAB,5080256000,$5.08B
CRSP,5006120960,$5.01B
SLMBP,4963080704,$4.96B
OZK,4933812736,$4.93B
TGTX,4921543168,$4.92B
WULF,4890204160,$4.89B
VSAT,4877618688,$4.88B
CAR,4876895232,$4.88B
CACC,4868220416,$4.87B
ACIW,4861630464,$4.86B
PECO,4805016064,$4.81B
SIGI,4800108544,$4.80B
MZTI,4751725056,$4.75B
DOOO,4736989696,$4.74B
CCC,4722530816,$4.72B
CLBT,4713364480,$4.71B
CORZ,4700529152,$4.70B
ALGM,4680734720,$4.68B
SNEX,4675298304,$4.68B
PRAX,4661836800,$4.66B
SBRA,4657851904,$4.66B
OSIS,4644296704,$4.64B
OPCH,4574653440,$4.57B
CAMT,4556946432,$4.56B
SHC,4548343808,$4.55B
AKRO,4465652736,$4.47B
FFIN,4459437568,$4.46B
BULL,4455416832,$4.46B
CALM,4441108992,$4.44B
STNE,4425724416,$4.43B
VKTX,4420851712,$4.42B
SSRM,4386685440,$4.39B
ABTC,4385109504,$4.39B
EOSE,4384315904,$4.38B
RUN,4378629120,$4.38B
CVCO,4354976256,$4.35B
NAMS,4348536832,$4.35B
PI,4326080000,$4.33B
APGE,4302781952,$4.30B
NAVN,4286786816,$4.29B
MRCY,4282735616,$4.28B
BGC,4251542528,$4.25B
FELE,4166602496,$4.17B
NMRK,4165845248,$4.17B
SAIC,4122171136,$4.12B
VCTR,4114310912,$4.11B
DORM,4106324480,$4.11B
PAGP,4082123264,$4.08B
DLO,4080485376,$4.08B
BLTE,4072476672,$4.07B
BLLN,4068102656,$4.07B
SLAB,4063908864,$4.06B
ACAD,4063747584,$4.06B
CRNX,4049034752,$4.05B
VRNS,4045034752,$4.05B
CZR,4037255168,$4.04B
CNTA,4033151488,$4.03B
SMH,4026227200,$4.03B
VSEC,4004752128,$4.00B
NWE,4004352512,$4.00B
POWL,3978517504,$3.98B
SKYW,3965082112,$3.97B
EBC,3963615744,$3.96B
VEON,3962058752,$3.96B
VICR,3955330048,$3.96B
TMDX,3948843520,$3.95B
CELC,3932107776,$3.93B
GLNG,3928627456,$3.93B
FORM,3928533760,$3.93B
TCBI,3916219648,$3.92B
NOVT,3889028864,$3.89B
CROX,3851103232,$3.85B
TFSL,3833928960,$3.83B
AVT,3802152448,$3.80B
CRVL,3800986112,$3.80B
AMBA,3790806784,$3.79B
PLXS,3788126720,$3.79B
ENPH,3783154176,$3.78B
VIAV,3777638400,$3.78B
UPST,3766932736,$3.77B
WGS,3764185856,$3.76B
BHF,3760722432,$3.76B
RUSHA,3742135296,$3.74B
ADMA,3735364608,$3.74B
RUSHB,3727061504,$3.73B
COMM,3717587456,$3.72B
FTDR,3712372736,$3.71B
BANF,3704426496,$3.70B
VRRM,3700299520,$3.70B
GBDC,3694640896,$3.69B
MIRM,3671557120,$3.67B
AMRX,3659184384,$3.66B
FLY,3654813440,$3.65B
AGYS,3631504896,$3.63B
PSMT,3604719616,$3.60B
SRRK,3596120832,$3.60B
MYRG,3561559040,$3.56B
OTTR,3559384832,$3.56B
BHFAL,3544314368,$3.54B
MLCO,3539398144,$3.54B
PTRN,3517205248,$3.52B
MLYS,3505108736,$3.51B
EXPO,3489112576,$3.49B
PLUG,3464653568,$3.46B
CARG,3458288640,$3.46B
PLMR,3444685568,$3.44B
USLM,3420689920,$3.42B
PATK,3369204736,$3.37B
DJT,3368371456,$3.37B
ALHC,3355538432,$3.36B
FRSH,3352746240,$3.35B
VLYPO,3344262656,$3.34B
BL,3297940736,$3.30B
ETOR,3287842048,$3.29B
TLX,3280728320,$3.28B
VERX,3245569024,$3.25B
GRAL,3243268352,$3.24B
AAPG,3235750400,$3.24B
FIBK,3233855232,$3.23B
CATY,3231058944,$3.23B
TENB,3228262400,$3.23B
FULT,3210957824,$3.21B
ARLP,3209415680,$3.21B
CLSK,3198305536,$3.20B
WSC,3196785920,$3.20B
RARE,3191478016,$3.19B
APPN,3176619008,$3.18B
VCYT,3150889728,$3.15B
XENE,3149729280,$3.15B
BRZE,3138848512,$3.14B
VLYPP,3134042368,$3.13B
CGON,3126913280,$3.13B
FIZZ,3102574848,$3.10B
SPSC,3101953280,$3.10B
PLBL,3100737280,$3.10B
QFIN,3097954560,$3.10B
PCH,3097808896,$3.10B
TARS,3095388672,$3.10B
TVTX,3086795264,$3.09B
ARQT,3062304768,$3.06B
MGEE,3057456384,$3.06B
PTON,3050087680,$3.05B
MCHB,3046472448,$3.05B
FHB,3039806464,$3.04B
XMTR,3035387392,$3.04B
CSQ,3013345536,$3.01B
ATEC,3000713728,$3.00B
WSBC,2993733376,$2.99B
MEOH,2984108800,$2.98B
WSFS,2982572800,$2.98B
SBCF,2979845376,$2.98B
ASO,2979489280,$2.98B
EEFT,2970036224,$2.97B
FLNC,2965725440,$2.97B
MENS,2961581824,$2.96B
AUGO,2957121536,$2.96B
NCNO,2955591680,$2.96B
SIMO,2947743744,$2.95B
COLM,2934250240,$2.93B
BLKB,2931278592,$2.93B
FOLD,2924897792,$2.92B
DAVE,2920407296,$2.92B
PRVA,2920041216,$2.92B
VC,2891761920,$2.89B
NMIH,2888696832,$2.89B
CPRX,2849108992,$2.85B
CHA,2840903168,$2.84B
PPTA,2812673792,$2.81B
AVPT,2809576960,$2.81B
NSIT,2803654912,$2.80B
SHOO,2773343744,$2.77B
DGNX,2745787648,$2.75B
VRDN,2743734528,$2.74B
TMC,2735740160,$2.74B
WRD,2734494464,$2.73B
TBBK,2728163072,$2.73B
CENX,2710650880,$2.71B
DYN,2687958272,$2.69B
RNW,2680445696,$2.68B
WDFC,2680405248,$2.68B
BHFAP,2664357632,$2.66B
SLNO,2654349312,$2.65B
